Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
add-mesh,Add mesh,<p></p>,Ferrum Decor Studio,Uncategorized,"","",true,Add mesh,Add mesh,,,,,,,,,0.0,shopify,10,deny,manual,35.00,,true,true,,,,,,,,,false,,,,kg,,,active
custom-built-floor-hatches-tailored-steel-floor-hatch-elegant-and-customized-for-your-space-copy,ANY SIZE & SHAPE Custom Floor access doors,"<p>Custom Steel Floor Hatches – Tailored to Your Needs  </p>
<p>Our steel floor hatches are fully customizable to ensure a perfect fit and seamless integration into your space. Personalize your hatch with the following options:  </p>
<p>- Precise Dimensions: Designed to match your exact opening size.  <br>- Hinge Placement: Choose hinges on the short or long side.  <br>- Flush or Lip Design: Select a flush finish or a 2-inch lip to cover the surrounding surface.  <br>- Custom Color: Pick a color that complements your style.  <br>- Weight &amp; Thickness: Specify estimated weight and thickness for tiling or additional coverings.  <br>- Optional Border: Add an overall border and define the required depth.  </p>
<p>Crafted for durability, functionality, and style, our hatches are ideal for any residential, commercial, or industrial application.</p>
<p><span style=""font-size: 0.875rem;"">HOW TO PLACE THE ORDER:</span></p>
<ol>
<li><span>Round up your opening dimensions to the nearest odd numbers and pick them from size options in the listing ( that is only for fair pricing and making payment )</span></li>
<li>
<span>Provide your exact specs by filling </span>personalization slot</li>
<li>Place an order</li>
</ol>
<p><span>HOW TO PICK THE COLOR:<br>- You can pick any color from any collection by following this link: neokem.eu/en/color-charts.<br><br>ETA ( FLOOR HATCHES )<br>- Making shop drawing: 3-5 days<br>- Fabrication: 3 weeks<br>- Shipping: 5-10 days<br></span></p>",FerrumDecorStudio,Home & Garden,hardware,"Custom Ventilated Steel Floor Hatch, Customized Ventilated Floor Access Hatch, Personalized Ventilated Floor Hatch in Steel, Sample Product, Specialized Steel Floor Vent Hatch, Steel Access Panel for Floors, Steel Floor Hatch",true,Openning width (INCH),25-30,,Openning length (INCH),30-35,,,,,,0.0,shopify,10,continue,manual,1940.00,1.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0991/2392/1028/files/sggsdgs.jpg?v=1770388187,1,"",false,Bespoke Floor Hatch with Electric lifting system - Ferrum decor studio,,,kg,,,active
custom-built-floor-hatches-tailored-steel-floor-hatch-elegant-and-customized-for-your-space-copy,,,,,,,,,25-30,,,35-40,,,,,,0.0,shopify,10,continue,manual,2080.00,1.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0991/2392/1028/files/sdgfsgb.jpg?v=1770388187,2,"",,,,,kg,,,
custom-built-floor-hatches-tailored-steel-floor-hatch-elegant-and-customized-for-your-space-copy,,,,,,,,,25-30,,,40-45,,,,,,0.0,shopify,10,continue,manual,2220.00,1.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0991/2392/1028/files/sgvsdgsd.jpg?v=1770388188,3,"",,,,,kg,,,
custom-built-floor-hatches-tailored-steel-floor-hatch-elegant-and-customized-for-your-space-copy,,,,,,,,,25-30,,,45-50,,,,,,0.0,shopify,10,continue,manual,2360.00,1.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0991/2392/1028/files/dbgsdgbxd.jpg?v=1770388188,4,"",,,,,kg,,,
custom-built-floor-hatches-tailored-steel-floor-hatch-elegant-and-customized-for-your-space-copy,,,,,,,,,25-30,,,50-55,,,,,,0.0,shopify,10,continue,manual,2500.00,1.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0991/2392/1028/files/dsgdfxgf.jpg?v=1770388188,5,"",,,,,kg,,,
custom-built-floor-hatches-tailored-steel-floor-hatch-elegant-and-customized-for-your-space-copy,,,,,,,,,25-30,,,55-60,,,,,,0.0,shopify,10,continue,manual,2640.00,1.00,true,true,,,,,,,,,,,,,kg,,,
custom-built-floor-hatches-tailored-steel-floor-hatch-elegant-and-customized-for-your-space-copy,,,,,,,,,25-30,,,60-65,,,,,,0.0,shopify,10,continue,manual,2780.00,1.00,true,true,,,,,,,,,,,,,kg,,,
custom-built-floor-hatches-tailored-steel-floor-hatch-elegant-and-customized-for-your-space-copy,,,,,,,,,25-30,,,65-70,,,,,,0.0,shopify,1,continue,manual,2920.00,1.00,true,true,,,,,,,,,,,,,kg,,,
custom-built-floor-hatches-tailored-steel-floor-hatch-elegant-and-customized-for-your-space-copy,,,,,,,,,25-30,,,70-75,,,,,,0.0,shopify,1,continue,manual,3060.00,1.00,true,true,,,,,,,,,,,,,kg,,,
